757,783,1540,
258,867,1125,
755,927,1682,
167,224,391,
233,867,1100,
559,937,1496,
661,1072,1733,
472,635,1107,
493,964,1457,
193,703,896,
263,378,641,
675,968,1643,
825,1036,1861,
704,843,1547,
309,587,896,
878,944,1822,
85,449,534,
566,676,1242,
197,552,749,
414,954,1368,
836,1012,1848,
158,368,526,
258,448,706,
442,699,1141,
391,436,827,
93,293,386,
839,840,1679,
371,529,900,
342,858,1200,
347,516,863,
822,942,1764,
367,556,923,
419,913,1332,
303,320,623,
534,673,1207,
680,879,1559,
201,349,550,
892,1000,1892,
135,264,399,
271,384,655,
235,871,1106,
158,950,1108,
173,215,388,
271,740,1011,
249,646,895,
350,966,1316,
628,848,1476,
229,900,1129,
641,837,1478,
591,690,1281,
564,973,1537,
334,500,834,
216,793,1009,
663,675,1338,
138,748,886,
692,858,1550,
237,347,584,
46,522,568,
461,722,1183,
814,913,1727,
347,576,923,
460,962,1422,
493,873,1366,
310,762,1072,
177,638,815,
388,543,931,
125,965,1090,
624,755,1379,
487,910,1397,
464,821,1285,
473,745,1218,
497,753,1250,
360,850,1210,
639,1008,1647,
581,879,1460,
112,383,495,
384,792,1176,
705,1006,1711,
550,908,1458,
318,930,1248,
115,367,482,
457,579,1036,
141,785,926,
204,743,947,
74,506,580,
341,400,741,
381,555,936,
283,969,1252,
339,708,1047,
517,894,1411,
127,970,1097,
18,534,552,
320,851,1171,
85,709,794,
453,837,1290,
263,327,590,
406,685,1091,
403,943,1346,
194,378,572,
330,708,1038,
741,1028,1769,
461,486,947,
918,980,1898,
401,624,1025,
806,851,1657,
520,638,1158,
350,788,1138,
611,954,1565,
318,444,762,
100,512,612,
343,495,838,
222,457,679,
340,571,911,
681,994,1675,
544,634,1178,
250,770,1020,
744,917,1661,
397,628,1025,
658,1041,1699,
725,910,1635,
90,515,605,
245,916,1161,
662,820,1482,
316,480,796,
752,1070,1822,
221,899,1120,
466,790,1256,
199,569,768,
31,810,841,
588,731,1319,
273,666,939,
642,649,1291,
129,799,928,
193,301,494,
414,534,948,
602,700,1302,
234,328,562,
351,765,1116,
390,678,1068,
181,515,696,
98,287,385,
264,806,1070,
792,906,1698,
304,494,798,
864,910,1774,
876,926,1802,
768,972,1740,
142,821,963,
103,163,266,
321,665,986,
398,978,1376,
418,955,1373,
322,465,787,
122,779,901,
182,764,946,
395,863,1258,
124,751,875,
647,705,1352,
896,1027,1923,
242,928,1170,
563,720,1283,
585,793,1378,
673,734,1407,
562,1000,1562,
233,626,859,
105,400,505,
512,884,1396,
182,242,424,
349,624,973,
239,936,1175,
450,858,1308,
423,454,877,
557,681,1238,
300,532,832,
322,639,961,
121,470,591,
632,766,1398,
238,566,804,
276,498,774,
791,857,1648,
91,474,565,
236,1019,1255,
116,238,354,
325,678,1003,
421,541,962,
589,795,1384,
674,681,1355,
367,494,861,
519,568,1087,
365,734,1099,
141,211,352,
398,506,904,
532,756,1288,
235,420,655,
379,618,997,
388,708,1096,
406,796,1202,
539,949,1488,
801,1058,1859,
133,346,479,
